holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
Nothing,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503
Nothing,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037
Nothing,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822
Nothing,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992
Nothing,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166
Nothing,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627
Nothing,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388
Nothing,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368
Nothing,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489
Nothing,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537
Nothing,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628
Nothing,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534
Nothing,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403
Nothing,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770
Nothing,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217
Nothing,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870
Nothing,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967
Nothing,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108
Nothing,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128
Nothing,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069
Nothing,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169
Nothing,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384
Nothing,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063
Nothing,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364
Nothing,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971
Nothing,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450
Nothing,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832
Nothing,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231
Nothing,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718
Nothing,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545
Nothing,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411
Nothing,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688
Nothing,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352
Nothing,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072
Nothing,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342
Nothing,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258
Nothing,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861
Nothing,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191
Nothing,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669
Nothing,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074
Nothing,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025
Nothing,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153
Nothing,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024
Nothing,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779
Nothing,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362
Nothing,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860
Nothing,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160
Nothing,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992
Nothing,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202
Nothing,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941
Nothing,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233
Nothing,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323
Nothing,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312
Nothing,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627
Nothing,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508
Nothing,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539
Nothing,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232
Nothing,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568
Nothing,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624
Nothing,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529
Nothing,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139
Nothing,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640
Nothing,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589
Nothing,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429
Nothing,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329
Nothing,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833
Nothing,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015
Nothing,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382
Nothing,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815
Nothing,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110
Nothing,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555
Nothing,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959
Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455
Nothing,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336
Nothing,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265
Nothing,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314
Nothing,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779
Nothing,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571
Nothing,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563
Nothing,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676
Nothing,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966
Nothing,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832
Nothing,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395
Nothing,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411
Nothing,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648
Nothing,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602
Nothing,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125
Nothing,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502
Nothing,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979
Nothing,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663
Nothing,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259
Nothing,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069
Nothing,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378
Nothing,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030
Nothing,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400
Nothing,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917
Nothing,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515
Nothing,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302
Nothing,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251
Nothing,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798
Nothing,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678
Nothing,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733
Nothing,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449
Nothing,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765
Nothing,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599
Nothing,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534
Nothing,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691
Nothing,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067
Nothing,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030
Nothing,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300
Nothing,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777
Nothing,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349
Nothing,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127
Nothing,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460
Nothing,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418
Nothing,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775
Nothing,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306
Nothing,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846
Nothing,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947
Nothing,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494
Nothing,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332
Nothing,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261
Nothing,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361
Nothing,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875
Nothing,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793
Nothing,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793
Nothing,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283
Nothing,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283
Nothing,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680
Nothing,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680
Nothing,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632
Nothing,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887
Nothing,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030
Nothing,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067
Nothing,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227
Nothing,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610
Nothing,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286
Nothing,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775
Nothing,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340
Nothing,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013
Nothing,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,2603
Nothing,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,1910
Nothing,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037
Nothing,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,347
Nothing,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,350
Nothing,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,850
Nothing,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,2791
Nothing,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809
Nothing,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,6798
Nothing,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,6304
Nothing,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291
Nothing,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,4638
Nothing,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,5557
Nothing,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818
Nothing,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,6272
Nothing,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,5944
Nothing,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949
Nothing,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,3511
Nothing,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,3039
Nothing,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,2679
Nothing,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,2094
Nothing,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284
Nothing,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,630
Nothing,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,410
Nothing,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,331
Nothing,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,372
Nothing,282.26,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,739
Nothing,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,2561
Nothing,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586
Nothing,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,6992
Nothing,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,5860
Nothing,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230
Nothing,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,4864
Nothing,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,5146
Nothing,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526
Nothing,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,5383
Nothing,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,5758
Nothing,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889
Nothing,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,6057
Nothing,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,6028
Nothing,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257
Nothing,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897
Nothing,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,1335
Nothing,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,769
Nothing,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,570
Nothing,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,413
Nothing,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,399
Nothing,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,740
Nothing,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420
Nothing,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,2220
Nothing,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,3479
Nothing,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546
Nothing,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,4579
Nothing,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,4438
Nothing,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623
Nothing,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,4440
Nothing,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,4495
Nothing,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483
Nothing,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,4591
Nothing,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,4477
Nothing,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221
Nothing,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 19:00:00,3672
Nothing,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13 20:00:00,3015
Nothing,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13 21:00:00,2769
Nothing,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 22:00:00,2875
Nothing,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,1931
Nothing,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 00:00:00,1309
Nothing,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 01:00:00,870
Nothing,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 02:00:00,654
Nothing,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 03:00:00,364
Nothing,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 04:00:00,262
Nothing,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 05:00:00,505
Nothing,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,861
Nothing,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 07:00:00,1132
Nothing,282.24,0.0,0.0,57,Mist,mist,2012-10-14 08:00:00,1797
Nothing,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685
Nothing,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685
Nothing,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685
Nothing,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,3370
Nothing,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,3370
Nothing,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,3662
Nothing,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,3662
Nothing,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076
Nothing,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076
Nothing,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076
Nothing,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,4128
Nothing,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,4128
Nothing,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,4128
Nothing,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,4358
Nothing,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,4358
Nothing,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,4358
Nothing,284.55,0.0,0.0,93,Mist,mist,2012-10-14 15:00:00,4342
Nothing,284.55,0.0,0.0,93,Rain,light rain,2012-10-14 15:00:00,4342
Nothing,284.68,0.0,0.0,93,Mist,mist,2012-10-14 16:00:00,4234
Nothing,284.64,0.0,0.0,93,Rain,light rain,2012-10-14 17:00:00,4271
Nothing,284.64,0.0,0.0,93,Mist,mist,2012-10-14 17:00:00,4271
Nothing,284.4,0.0,0.0,93,Mist,mist,2012-10-14 18:00:00,4080
Nothing,284.17,0.0,0.0,93,Mist,mist,2012-10-14 19:00:00,3453
Nothing,284.03,0.0,0.0,93,Mist,mist,2012-10-14 20:00:00,2718
Nothing,283.58,0.0,0.0,93,Mist,mist,2012-10-14 21:00:00,2439
Nothing,283.04,0.0,0.0,93,Mist,mist,2012-10-14 22:00:00,1819
Nothing,281.95,0.0,0.0,93,Mist,mist,2012-10-14 23:00:00,1002
Nothing,281.95,0.0,0.0,93,Fog,fog,2012-10-14 23:00:00,1002
Nothing,281.61,0.0,0.0,93,Mist,mist,2012-10-15 00:00:00,542
Nothing,281.61,0.0,0.0,93,Fog,fog,2012-10-15 00:00:00,542
Nothing,281.57,0.0,0.0,85,Fog,fog,2012-10-15 01:00:00,303
Nothing,281.42,0.0,0.0,85,Fog,fog,2012-10-15 02:00:00,239
Nothing,281.29,0.0,0.0,85,Mist,mist,2012-10-15 03:00:00,335
Nothing,281.29,0.0,0.0,85,Fog,fog,2012-10-15 03:00:00,335
Nothing,281.02,0.0,0.0,85,Mist,mist,2012-10-15 04:00:00,810
Nothing,281.02,0.0,0.0,85,Fog,fog,2012-10-15 04:00:00,810
Nothing,280.82,0.0,0.0,85,Mist,mist,2012-10-15 05:00:00,2606
