bathrooms,bedrooms,fee,price,square_feet,cityname,state
1.0,1.0,No,2990.0,794.0,Detroit,MI
2.5,2.0,No,2350.0,1451.0,Sacramento,CA
1.0,2.0,No,2195.0,816.0,Long Beach,CA
3.0,4.0,No,3850.0,2440.0,Gilroy,CA
1.0,1.0,No,2990.0,661.0,Detroit,MI
2.0,5.0,No,6300.0,2100.0,Brookline,MA
1.0,2.0,No,1230.0,457.0,Boise,ID
1.0,1.0,No,1395.0,500.0,Chicago,IL
1.0,1.0,No,2295.0,332.0,San Francisco,CA
2.0,3.0,No,1199.0,1200.0,Columbia,SC
1.0,1.0,No,646.0,656.0,Meridian,ID
1.0,1.0,No,895.0,690.0,San Antonio,TX
1.0,1.0,No,884.0,622.0,San Antonio,TX
1.0,1.0,No,640.0,530.0,Davenport,IA
1.0,1.0,No,1756.0,862.0,Providence,RI
2.0,4.0,No,1900.0,1150.0,Urbana,IL
1.0,1.0,No,1209.0,500.0,Eugene,OR
2.0,2.0,No,1568.0,828.0,State College,PA
1.0,1.0,No,1180.0,664.0,Mishawaka,IN
1.0,2.0,No,900.0,551.0,Rochester,MN
1.0,2.0,No,1040.0,470.0,West Lafayette,IN
3.0,3.0,No,960.0,1470.0,West Lafayette,IN
1.0,2.0,No,820.0,916.0,Grand Forks,ND
2.0,4.0,No,1440.0,1832.0,Manhattan,KS
2.0,3.0,No,1299.0,1358.0,Glendale,AZ
1.0,2.0,No,1631.0,499.0,Long Beach,CA
1.0,1.0,No,1020.0,740.0,Peoria,AZ
1.0,1.0,No,1125.0,676.0,Columbus,OH
1.0,1.0,No,1211.0,866.0,Morrisville,NC
2.0,2.0,No,1010.0,1100.0,Charlotte,NC
1.0,1.0,No,1675.0,682.0,Fountain Valley,CA
2.0,3.0,No,1500.0,1382.0,Lees Summit,MO
1.0,2.0,No,944.0,1125.0,Indianapolis,IN
1.0,3.0,No,950.0,680.0,Antioch,TN
2.0,2.0,No,1004.0,912.0,Spring Hill,TN
1.0,1.0,No,3795.0,648.0,San Francisco,CA
1.0,1.0,No,1875.0,732.0,Bellevue,WA
1.0,2.0,No,1050.0,579.0,Dallas,TX
2.0,3.0,No,1499.0,1665.0,Charlotte,NC
1.0,0.0,No,1495.0,138.0,San Francisco,CA
1.0,1.0,No,791.0,717.0,Ballwin,MO
1.0,1.0,No,1417.0,840.0,Houston,TX
1.0,1.0,No,1109.0,678.0,Houston,TX
2.5,3.0,No,1695.0,1542.0,Bismarck,ND
2.0,2.0,No,2795.0,900.0,Los Angeles,CA
2.0,2.0,No,950.0,1500.0,Jacksonville,AL
1.0,2.0,No,875.0,950.0,Oklahoma City,OK
2.0,2.0,No,2595.0,1025.0,Los Angeles,CA
1.0,2.0,No,1499.0,540.0,Duarte,CA
1.0,1.0,No,4500.0,769.0,San Francisco,CA
2.0,3.0,No,1400.0,1285.0,Clayton,NC
1.0,1.0,No,1025.0,545.0,Salt Lake City,UT
1.0,2.0,No,1450.0,1215.0,Saint Louis,MO
1.0,1.0,No,750.0,734.0,Chubbuck,ID
1.0,2.0,No,2540.0,1500.0,Denver,CO
1.0,1.0,No,2600.0,800.0,Oakland,CA
1.0,1.0,No,1595.0,642.0,Santa Clarita,CA
1.0,1.0,No,1750.0,720.0,Portland,OR
2.0,3.0,No,2150.0,2120.0,Tampa,FL
2.0,3.0,No,995.0,1120.0,Grand Forks,ND
2.0,3.0,No,1265.0,1800.0,Saint Louis,MO
1.5,1.0,No,1595.0,700.0,Seattle,WA
1.0,2.0,No,695.0,900.0,Brandon,SD
1.0,1.0,No,825.0,621.0,Troy,NY
2.0,2.0,No,1995.0,1601.0,Boise,ID
1.0,0.0,No,850.0,400.0,Houston,TX
1.0,2.0,No,1050.0,1100.0,Omaha,NE
1.0,1.0,No,873.0,820.0,Macon,GA
1.0,1.0,No,925.0,670.0,Omaha,NE
1.0,2.0,No,1650.0,1200.0,Chicago,IL
1.0,1.0,No,989.0,791.0,Austin,TX
1.0,1.0,No,605.0,717.0,Paducah,KY
1.0,2.0,No,1285.0,850.0,Oregon City,OR
1.0,0.0,No,1400.0,355.0,Los Angeles,CA
1.0,1.0,No,1595.0,600.0,Los Angeles,CA
1.0,1.0,No,1195.0,650.0,Austin,TX
1.0,1.0,No,1600.0,877.0,Austin,TX
1.0,1.0,No,1656.0,705.0,Nashville,TN
1.0,1.0,No,1035.0,766.0,Austin,TX
1.0,1.0,No,972.0,892.0,Round Rock,TX
1.0,1.0,No,1027.0,677.0,Austin,TX
1.0,0.0,No,1350.0,500.0,Tustin,CA
1.0,1.0,No,1035.0,660.0,Leander,TX
1.0,1.0,No,2017.0,671.0,Austin,TX
1.0,2.0,No,800.0,430.0,Austin,TX
1.5,1.0,No,1065.0,1145.0,Sioux Falls,SD
1.0,2.0,No,897.0,450.0,Austin,TX
2.5,2.0,No,1739.0,1438.0,Pflugerville,TX
1.0,2.0,No,1250.0,552.0,San Antonio,TX
3.5,3.0,No,2800.0,2232.0,Jacksonville,FL
2.0,3.0,No,2350.0,1857.0,Aurora,CO
2.0,3.0,No,2000.0,1198.0,San Jose,CA
1.0,1.0,No,795.0,737.0,San Antonio,TX
1.0,1.0,No,1280.0,700.0,Sacramento,CA
2.0,2.0,No,2199.0,764.0,Seattle,WA
1.0,1.0,No,1050.0,362.0,Chicago,IL
1.0,1.0,No,2800.0,850.0,Oakland,CA
1.0,1.0,No,1730.0,606.0,Dallas,TX
1.0,1.0,No,900.0,677.0,Austin,TX
1.0,1.0,No,955.0,625.0,Pflugerville,TX
1.0,2.0,No,1600.0,1400.0,Chicago,IL
1.0,1.0,No,1125.0,642.0,Austin,TX
2.0,2.0,No,2499.0,1590.0,North Hollywood,CA
3.0,4.0,No,2400.0,2516.0,Orlando,FL
1.0,1.0,No,2640.0,600.0,Detroit,MI
1.0,1.0,No,3388.0,960.0,Hillsborough,CA
2.0,2.0,No,1990.0,900.0,Chicago,IL
2.0,3.0,No,1399.0,1713.0,Glendale,AZ
2.0,3.0,No,1599.0,1413.0,Charlotte,NC
1.0,1.0,No,809.0,653.0,Humble,TX
2.0,4.0,No,1399.0,1633.0,Acworth,GA
1.0,1.0,No,1489.0,940.0,Lakewood,CO
1.0,1.0,No,690.0,730.0,Omaha,NE
1.0,1.0,No,937.0,752.0,Gonzales,LA
1.0,1.0,No,740.0,750.0,Baton Rouge,LA
2.0,2.0,No,565.0,900.0,Weslaco,TX
1.0,1.0,No,1009.0,826.0,Altamonte Springs,FL
1.0,2.0,No,1565.0,921.0,Franklin,TN
1.0,2.0,No,700.0,748.0,Des Moines,IA
1.0,2.0,No,725.0,800.0,West Des Moines,IA
1.0,3.0,No,960.0,1050.0,Champaign,IL
1.0,1.0,No,850.0,273.0,Bloomington,IN
1.0,1.0,No,725.0,600.0,Bloomington,IN
1.0,3.0,No,800.0,500.0,Greenville,NC
1.0,1.0,No,600.0,660.0,Abilene,TX
1.0,1.0,No,386.0,375.0,Edgerton,WI
2.0,2.0,No,850.0,1067.0,Mosinee,WI
1.0,0.0,No,799.0,375.0,West Lafayette,IN
1.0,2.0,No,750.0,550.0,Lafayette,IN
1.0,1.0,No,799.0,400.0,West Lafayette,IN
2.0,4.0,No,1525.0,1868.0,Garner,NC
2.0,2.0,No,2010.0,930.0,Placentia,CA
1.0,2.0,No,1245.0,530.0,Plymouth,MN
1.0,1.0,No,1070.0,800.0,Eagan,MN
1.0,1.0,No,1450.0,510.0,Portland,OR
1.0,1.0,No,1360.0,624.0,Vancouver,WA
1.0,1.0,No,720.0,600.0,Hamilton,OH
1.0,1.0,No,820.0,460.0,Colorado Springs,CO
1.0,2.0,No,1200.0,350.0,Haverhill,MA
1.0,1.0,No,895.0,606.0,Anchorage,AK
1.0,2.0,No,955.0,380.0,Anchorage,AK
2.0,2.0,No,1250.0,1025.0,Anchorage,AK
1.0,2.0,No,1397.0,913.0,Tacoma,WA
1.0,2.0,No,1030.0,745.0,Athens,GA
1.0,1.0,No,902.0,384.0,Chicago,IL
1.0,1.0,No,1212.0,723.0,Dallas,TX
1.0,2.0,No,1450.0,410.0,Fort Belvoir,VA
1.0,1.0,No,938.0,688.0,College Park,GA
1.0,1.0,No,3095.0,432.0,San Francisco,CA
1.0,1.0,No,1326.0,580.0,Lakewood,CO
1.0,1.0,No,1034.0,651.0,Lawrenceville,GA
1.0,3.0,No,635.0,520.0,Abilene,TX
1.0,1.0,No,1675.0,967.0,Odessa,TX
1.0,2.0,No,1538.0,481.0,Denver,CO
1.0,1.0,No,1410.0,651.0,Alexandria,VA
1.0,1.0,No,941.0,627.0,Baltimore,MD
1.0,1.0,No,1365.0,617.0,Phoenix,AZ
1.0,1.0,No,1012.0,646.0,San Antonio,TX
1.0,1.0,No,959.0,774.0,San Antonio,TX
1.0,1.0,No,1192.0,593.0,Houston,TX
1.0,1.0,No,2095.0,798.0,Santa Rosa,CA
1.5,2.0,No,1100.0,812.0,Austin,TX
1.0,0.0,No,1095.0,231.0,Seattle,WA
1.0,1.0,No,1350.0,557.0,Philadelphia,PA
1.0,1.0,No,1210.0,1166.0,Horseshoe Bay,TX
1.0,1.0,No,965.0,700.0,Ames,IA
1.0,1.0,No,750.0,750.0,Clarkston,MI
1.0,1.0,No,1785.0,800.0,Woodland Hills,CA
1.0,1.0,No,925.0,500.0,Salt Lake City,UT
2.0,2.0,No,1950.0,1100.0,Florence,SC
1.0,3.0,No,1895.0,1100.0,Portland,OR
1.0,1.0,No,2095.0,700.0,Oakland,CA
1.0,2.0,No,2350.0,700.0,Oakland,CA
1.0,3.0,No,1695.0,1406.0,Vancouver,WA
1.0,2.0,No,625.0,800.0,Minot,ND
2.0,3.0,No,1375.0,1347.0,Jacksonville,FL
2.5,4.0,No,2600.0,3200.0,Orlando,FL
1.0,1.0,No,1290.0,559.0,Austin,TX
2.5,3.0,No,1695.0,1525.0,Mandan,ND
1.0,2.0,No,595.0,850.0,Minot,ND
1.0,2.0,No,545.0,550.0,Minot,ND
1.0,1.0,No,1786.0,650.0,Austin,TX
1.0,1.0,No,1200.0,640.0,Austin,TX
1.0,1.0,No,915.0,696.0,Austin,TX
1.0,2.0,No,1258.0,531.0,Austin,TX
2.0,3.0,No,1250.0,1348.0,Calera,AL
1.0,1.0,No,2035.0,953.0,Austin,TX
1.0,3.0,No,1041.0,450.0,Austin,TX
1.0,1.0,No,1740.0,931.0,Austin,TX
1.0,1.0,No,1231.0,652.0,Cedar Park,TX
2.0,4.0,No,1095.0,1584.0,Kansas City,MO
1.0,0.0,No,1299.0,243.0,Seattle,WA
1.0,1.0,No,1789.0,678.0,Dallas,TX
1.0,2.0,No,1040.0,700.0,University Place,WA
2.0,2.0,No,785.0,1200.0,Hattiesburg,MS
1.0,1.0,No,1002.0,878.0,Round Rock,TX
3.5,5.0,No,2395.0,4614.0,Houston,TX
2.0,2.0,No,4800.0,1390.0,San Francisco,CA
1.0,2.0,No,900.0,1050.0,Holt,MI
2.0,1.0,No,1743.0,1130.0,Glen Burnie,MD
1.0,1.0,No,1028.0,542.0,Glen Burnie,MD
1.0,1.0,No,950.0,500.0,Madison,WI
1.0,1.0,No,840.0,700.0,Saint Francis,WI
1.0,1.0,No,1950.0,1055.0,Dallas,TX
1.0,1.0,No,826.0,920.0,Pittsburgh,PA
2.0,3.0,No,1599.0,1904.0,Cypress,TX
1.0,1.0,No,5000.0,914.0,San Francisco,CA
1.0,1.0,No,875.0,669.0,Omaha,NE
2.0,2.0,No,578.0,901.0,Mission,TX
2.0,2.0,No,650.0,955.0,Conway,AR
2.0,4.0,No,1625.0,1684.0,Goodlettsville,TN
1.0,2.0,No,600.0,420.0,Bloomington,IN
1.0,1.0,No,740.0,600.0,Bloomington,IN
1.0,3.0,No,550.0,470.0,Bloomington,IN
1.0,1.0,No,540.0,385.0,Bloomington,IN
1.0,1.0,No,830.0,525.0,Springfield,MO
2.0,2.0,No,1438.0,837.0,Springfield,MO
2.0,2.0,No,1418.0,931.0,Tuscaloosa,AL
1.0,1.0,No,2075.0,565.0,Washington,DC
1.0,1.0,No,450.0,560.0,West Fargo,ND
1.0,1.0,No,720.0,673.0,Rochester,MN
1.0,1.0,No,1099.0,685.0,West Lafayette,IN
1.0,2.0,No,539.0,815.0,Van Wert,OH
2.0,4.0,No,1575.0,2064.0,Clayton,NC
2.0,3.0,No,1299.0,1728.0,Indianapolis,IN
2.0,3.0,No,1525.0,1835.0,Loganville,GA
1.0,2.0,No,875.0,867.0,Tucson,AZ
1.0,1.0,No,757.0,520.0,Omaha,NE
1.0,1.0,No,975.0,528.0,San Antonio,TX
1.0,1.0,No,815.0,592.0,Grand Prairie,TX
1.0,2.0,No,1274.0,984.0,Forest Lake,MN
1.0,2.0,No,1230.0,900.0,Dublin,OH
1.0,1.0,No,940.0,806.0,Pittsburgh,PA
1.0,1.0,No,1350.0,477.0,Portland,OR
1.0,1.0,No,734.0,758.0,San Antonio,TX
1.0,1.0,No,775.0,637.0,Overland Park,KS
1.0,1.0,No,1400.0,678.0,South Dartmouth,MA
1.0,1.0,No,1263.0,630.0,Colorado Springs,CO
1.0,1.0,No,910.0,644.0,Dallas,TX
1.0,3.0,No,1889.0,561.0,Arlington,VA
1.0,1.0,No,1025.0,566.0,Midland,TX
1.0,1.0,No,2749.0,519.0,Washington,DC
1.0,2.0,No,1355.0,663.0,Richmond,VA
1.0,1.0,No,1710.0,805.0,Upland,CA
1.0,1.0,No,2015.0,782.0,Hackensack,NJ
1.0,1.0,No,1152.0,861.0,San Antonio,TX
1.0,3.0,No,2044.0,977.0,Chicago,IL
1.0,1.0,No,1315.0,820.0,Houston,TX
1.0,0.0,No,1150.0,525.0,Houston,TX
1.0,1.0,No,950.0,826.0,Houston,TX
1.0,1.0,No,1089.0,670.0,Houston,TX
1.0,1.0,No,1029.0,759.0,Houston,TX
1.0,4.0,No,2200.0,1536.0,Columbia,MO
2.0,2.0,No,2899.0,1126.0,Valley Village,CA
1.0,1.0,No,1350.0,508.0,Portland,OR
2.0,3.0,No,3495.0,1675.0,Seattle,WA
1.0,1.0,No,1295.0,497.0,Minneapolis,MN
2.5,2.0,No,3300.0,1302.0,San Jose,CA
2.5,3.0,No,1900.0,2500.0,Ooltewah,TN
1.0,1.0,No,1780.0,520.0,Honolulu,HI
2.0,4.0,No,1495.0,1715.0,Yukon,OK
1.0,2.0,No,1795.0,900.0,Seattle,WA
1.0,1.0,No,925.0,600.0,Salt Lake City,UT
1.0,2.0,No,1995.0,500.0,Redondo Beach,CA
2.0,2.0,No,1995.0,1150.0,Brookfield,CT
1.0,2.0,No,565.0,915.0,Grand Forks,ND
1.0,1.0,No,1795.0,710.0,Milford,CT
1.0,0.0,No,925.0,400.0,Austin,TX
1.0,1.0,No,965.0,605.0,Grand Haven,MI
1.0,3.0,No,1945.0,1089.0,Portland,OR
1.0,1.0,No,1095.0,644.0,Austin,TX
2.0,3.0,No,1399.0,1372.0,Lubbock,TX
1.5,2.0,No,1009.0,1138.0,Lady Lake,FL
2.0,2.0,No,1995.0,1245.0,Brick,NJ
1.0,1.0,No,1125.0,600.0,Austin,TX
1.0,1.0,No,1185.0,686.0,Austin,TX
1.0,1.0,No,890.0,550.0,Austin,TX
2.0,3.0,No,2050.0,936.0,Aurora,CO
1.0,1.0,No,1126.0,582.0,Austin,TX
1.0,1.0,No,1080.0,647.0,Austin,TX
1.0,1.0,No,1060.0,693.0,Austin,TX
1.0,1.0,No,1100.0,634.0,Austin,TX
1.0,2.0,No,1246.0,352.0,Austin,TX
1.0,1.0,No,1225.0,620.0,Austin,TX
1.0,1.0,No,905.0,600.0,Austin,TX
3.5,3.0,No,2050.0,1700.0,Leander,TX
2.0,4.0,No,1825.0,2239.0,Mckinney,TX
1.0,1.0,No,1499.0,636.0,Seattle,WA
1.0,1.0,No,959.0,793.0,Austin,TX
7.0,7.0,No,9000.0,4355.0,Bloomington,IN
1.0,3.0,No,670.0,565.0,Grand Forks,ND
1.0,1.0,No,1050.0,700.0,Austin,TX
1.0,2.0,No,565.0,850.0,Dayton,OH
1.0,1.0,No,1850.0,900.0,Woodland Hills,CA
1.0,1.0,No,1039.0,775.0,Austin,TX
1.0,1.0,No,3100.0,857.0,San Francisco,CA
1.0,1.0,No,1677.0,723.0,Oxnard,CA
2.0,3.0,No,1599.0,1445.0,Mansfield,TX
1.0,2.0,No,1242.0,400.0,Chicago,IL
1.0,2.0,No,1755.0,941.0,Chicago,IL
1.0,1.0,No,900.0,250.0,Laurel,MD
1.0,1.0,No,1295.0,536.0,Gaithersburg,MD
1.0,1.0,No,770.0,450.0,Kansas City,MO
1.0,2.0,No,1300.0,900.0,Beaverton,OR
1.0,2.0,No,775.0,1035.0,Omaha,NE
1.0,1.0,No,1200.0,603.0,Baton Rouge,LA
1.0,2.0,No,930.0,523.0,Urbana,IL
1.0,2.0,No,1000.0,800.0,Bloomington,IN
1.0,1.0,No,600.0,500.0,Cedar Falls,IA
1.0,2.0,No,825.0,456.0,Saint George,UT
1.0,1.0,No,690.0,750.0,Tallahassee,FL
3.0,3.0,No,1797.0,905.0,West Lafayette,IN
2.0,2.0,No,1199.0,895.0,Pendleton,IN
2.0,4.0,No,1499.0,2012.0,Lexington,SC
1.0,1.0,No,1285.0,960.0,Fitchburg,WI
1.0,3.0,No,1338.0,1022.0,Forest Lake,MN
1.0,2.0,No,1290.0,536.0,Bloomington,MN
1.0,2.0,No,2900.0,1100.0,Culver City,CA
